network_id,type,subtype,id_pair,species_1,label_1,degree_1,species_2,label_2,degree_2,number_sp_label_1,number_sp_label_2,connected,normalized_degree_sp_1,normalized_degree_sp_2,network_connectance
M_PL_001,M,PlantPollinator,1,Anarthrophyllum cumingii,Plant,4,Centris cineraria,Pollinator,13,84,101,1,0.0396,0.1548,0.043
M_PL_001,M,PlantPollinator,2,Astragalus curvicaulis,Plant,10,Centris cineraria,Pollinator,13,84,101,1,0.099,0.1548,0.043
M_PL_001,M,PlantPollinator,3,Astragalus curvicaulis,Plant,10,Colletes fulvipes,Pollinator,1,84,101,1,0.099,0.0119,0.043
M_PL_001,M,PlantPollinator,4,Anarthrophyllum cumingii,Plant,4,Etcheverrius chilensis,Pollinator,8,84,101,1,0.0396,0.0952,0.043
M_PL_001,M,PlantPollinator,5,Calandrinia affinis,Plant,13,Habromyia lipoflava,Pollinator,2,84,101,1,0.1287,0.0238,0.043
M_PL_001,M,PlantPollinator,6,Astragalus curvicaulis,Plant,10,Megachile semirufa,Pollinator,15,84,101,1,0.099,0.1786,0.043
M_PL_001,M,PlantPollinator,7,Calandrinia affinis,Plant,13,Phulia nymphula,Pollinator,1,84,101,1,0.1287,0.0119,0.043
M_PL_001,M,PlantPollinator,8,Calandrinia affinis,Plant,13,Scaeva melanostoma,Pollinator,34,84,101,1,0.1287,0.4048,0.043
M_PL_001,M,PlantPollinator,9,Calandrinia affinis,Plant,13,Villa hypoxantha,Pollinator,5,84,101,1,0.1287,0.0595,0.043
M_PL_001,M,PlantPollinator,10,Anarthrophyllum cumingii,Plant,4,Yramea lathonoides,Pollinator,3,84,101,1,0.0396,0.0357,0.043
M_PL_002,M,PlantPollinator,11,Anarthrophyllum cumingii,Plant,5,Alloscirtetica rufitarsis,Pollinator,1,43,64,1,0.0781,0.0233,0.071
M_PL_002,M,PlantPollinator,1,Anarthrophyllum cumingii,Plant,5,Centris cineraria,Pollinator,3,43,64,1,0.0781,0.0698,0.071
M_PL_002,M,PlantPollinator,2,Astragalus curvicaulis,Plant,10,Centris cineraria,Pollinator,3,43,64,1,0.1563,0.0698,0.071
M_PL_002,M,PlantPollinator,12,Calceolaria biflora,Plant,2,Centris nigerrima,Pollinator,2,43,64,1,0.0313,0.0465,0.071
M_PL_002,M,PlantPollinator,3,Astragalus curvicaulis,Plant,10,Colletes fulvipes,Pollinator,1,43,64,1,0.1563,0.0233,0.071
M_PL_002,M,PlantPollinator,5,Calandrinia affinis,Plant,13,Habromyia lipoflava,Pollinator,5,43,64,1,0.2031,0.1163,0.071
M_PL_002,M,PlantPollinator,13,Berberis empetrifolia,Plant,4,Lyophlaeba lugubris,Pollinator,3,43,64,1,0.0625,0.0698,0.071
M_PL_002,M,PlantPollinator,6,Astragalus curvicaulis,Plant,10,Megachile semirufa,Pollinator,3,43,64,1,0.1563,0.0698,0.071
M_PL_002,M,PlantPollinator,7,Calandrinia affinis,Plant,13,Phulia nymphula,Pollinator,2,43,64,1,0.2031,0.0465,0.071
M_PL_002,M,PlantPollinator,9,Calandrinia affinis,Plant,13,Villa hypoxantha,Pollinator,2,43,64,1,0.2031,0.0465,0.071
M_PL_003,M,PlantPollinator,8,Calandrinia affinis,Plant,1,Scaeva melanostoma,Pollinator,9,36,25,1,0.04,0.25,0.09
M_PL_005,M,PlantPollinator,14,Achillea millefolium,Plant,7,Panzeria radicum,Pollinator,2,96,275,1,0.0255,0.0208,0.035
M_PL_006,M,PlantPollinator,15,Achillea millefolium,Plant,6,Maniola jurtina,Pollinator,7,17,61,1,0.0984,0.4118,0.141
M_PL_016,M,PlantPollinator,16,Calluna vulgaris,Plant,23,Apis mellifera,Pollinator,14,26,179,1,0.1285,0.5385,0.089
M_PL_017,M,PlantPollinator,17,Angelica sylvestris,Plant,9,Syritta pipiens,Pollinator,10,25,79,1,0.1139,0.4,0.151
M_PL_018,M,PlantPollinator,18,Achillea millefolium,Plant,14,Adscita statices,Pollinator,8,39,105,1,0.1333,0.2051,0.094
M_PL_018,M,PlantPollinator,19,Angelica sylvestris,Plant,17,Anaspis rufilabris,Pollinator,2,39,105,1,0.1619,0.0513,0.094
M_PL_018,M,PlantPollinator,20,Angelica sylvestris,Plant,17,Aphantopus hyperantus,Pollinator,1,39,105,1,0.1619,0.0256,0.094
M_PL_018,M,PlantPollinator,21,Angelica sylvestris,Plant,17,Byturus aestivus,Pollinator,4,39,105,1,0.1619,0.1026,0.094
