network_id,type,subtype,id_pair,species_1,label_1,degree_1,species_2,label_2,degree_2,number_sp_label_1,number_sp_label_2,connected,normalized_degree_sp_1,normalized_degree_sp_2,network_connectance,sum_1,sum_2,sum_shared
A_HP_046,A,HostParasite,2775,"Allactaga elater",Host,20,"Amphipsylla schelkovnikovi",Parasite,2,17,39,1,0.5128,0.1176,0.305,1302,71,9
A_HP_006,A,HostParasite,2775,"Allactaga elater",Host,2,"Amphipsylla schelkovnikovi",Parasite,4,16,37,0,0.0541,0.25,0.208,13,2280,0
A_HP_010,A,HostParasite,2775,"Allactaga elater",Host,9,"Amphipsylla schelkovnikovi",Parasite,2,18,31,0,0.2903,0.1111,0.158,253,330,0
A_HP_013,A,HostParasite,2775,"Allactaga elater",Host,10,"Amphipsylla schelkovnikovi",Parasite,1,11,22,0,0.4545,0.0909,0.426,285,5,0
A_HP_029,A,HostParasite,2775,"Allactaga elater",Host,4,"Amphipsylla schelkovnikovi",Parasite,1,15,34,0,0.1176,0.0667,0.155,104,193,0
A_HP_038,A,HostParasite,2775,"Allactaga elater",Host,2,"Amphipsylla schelkovnikovi",Parasite,3,10,20,0,0.1,0.3,0.26,29,40,0
A_HP_042,A,HostParasite,2775,"Allactaga elater",Host,2,"Amphipsylla schelkovnikovi",Parasite,1,21,32,0,0.0625,0.0476,0.125,8,58,0
A_HP_046,A,HostParasite,2865,"Allactaga elater",Host,20,"Citellophilus trispinus",Parasite,7,17,39,1,0.5128,0.4118,0.305,1302,36469,29
A_HP_010,A,HostParasite,2865,"Allactaga elater",Host,9,"Citellophilus trispinus",Parasite,1,18,31,0,0.2903,0.0556,0.158,253,2,0
A_HP_013,A,HostParasite,2865,"Allactaga elater",Host,10,"Citellophilus trispinus",Parasite,4,11,22,0,0.4545,0.3636,0.426,285,1704,0
A_HP_029,A,HostParasite,2865,"Allactaga elater",Host,4,"Citellophilus trispinus",Parasite,2,15,34,0,0.1176,0.1333,0.155,104,1882,0
A_HP_046,A,HostParasite,2749,"Allactaga elater",Host,20,"Coptopsylla lamellifer",Parasite,8,17,39,1,0.5128,0.4706,0.305,1302,18328,80
A_HP_010,A,HostParasite,2749,"Allactaga elater",Host,9,"Coptopsylla lamellifer",Parasite,1,18,31,0,0.2903,0.0556,0.158,253,121,0
A_HP_013,A,HostParasite,2749,"Allactaga elater",Host,10,"Coptopsylla lamellifer",Parasite,3,11,22,0,0.4545,0.2727,0.426,285,1945,0
A_HP_040,A,HostParasite,2749,"Allactaga elater",Host,1,"Coptopsylla lamellifer",Parasite,1,8,18,0,0.0556,0.125,0.194,2,814,0
A_HP_010,A,HostParasite,2688,"Allactaga elater",Host,9,"Ctenophthalmus arvalis",Parasite,10,18,31,1,0.2903,0.5556,0.158,253,66,2
A_HP_042,A,HostParasite,2688,"Allactaga elater",Host,2,"Ctenophthalmus arvalis",Parasite,4,21,32,0,0.0625,0.1905,0.125,8,25,0
A_HP_046,A,HostParasite,2866,"Allactaga elater",Host,20,"Ctenophthalmus dolichus",Parasite,8,17,39,1,0.5128,0.4706,0.305,1302,4206,3
A_HP_010,A,HostParasite,2866,"Allactaga elater",Host,9,"Ctenophthalmus dolichus",Parasite,1,18,31,0,0.2903,0.0556,0.158,253,58,0
A_HP_013,A,HostParasite,2866,"Allactaga elater",Host,10,"Ctenophthalmus dolichus",Parasite,2,11,22,0,0.4545,0.1818,0.426,285,625,0
A_HP_040,A,HostParasite,2866,"Allactaga elater",Host,1,"Ctenophthalmus dolichus",Parasite,1,8,18,0,0.0556,0.125,0.194,2,159,0
A_HP_046,A,HostParasite,2750,"Allactaga elater",Host,20,"Echidnophaga oschanini",Parasite,7,17,39,1,0.5128,0.4118,0.305,1302,7423,6
A_HP_010,A,HostParasite,2750,"Allactaga elater",Host,9,"Echidnophaga oschanini",Parasite,3,18,31,0,0.2903,0.1667,0.158,253,112,0
A_HP_013,A,HostParasite,2750,"Allactaga elater",Host,10,"Echidnophaga oschanini",Parasite,5,11,22,0,0.4545,0.4545,0.426,285,882,0
A_HP_040,A,HostParasite,2750,"Allactaga elater",Host,1,"Echidnophaga oschanini",Parasite,2,8,18,0,0.0556,0.25,0.194,2,1225,0
A_HP_029,A,HostParasite,2751,"Allactaga elater",Host,4,"Frontopsylla macrophthalma",Parasite,2,15,34,1,0.1176,0.1333,0.155,104,24,22
A_HP_046,A,HostParasite,2751,"Allactaga elater",Host,20,"Frontopsylla macrophthalma",Parasite,4,17,39,1,0.5128,0.2353,0.305,1302,329,301
A_HP_038,A,HostParasite,2768,"Allactaga elater",Host,2,"Mesopsylla apscheronica",Parasite,1,10,20,1,0.1,0.1,0.26,29,24,24
A_HP_006,A,HostParasite,2768,"Allactaga elater",Host,2,"Mesopsylla apscheronica",Parasite,1,16,37,0,0.0541,0.0625,0.208,13,2,0
A_HP_010,A,HostParasite,2690,"Allactaga elater",Host,9,"Mesopsylla eucta",Parasite,6,18,31,1,0.2903,0.3333,0.158,253,97,54
A_HP_042,A,HostParasite,2690,"Allactaga elater",Host,2,"Mesopsylla eucta",Parasite,1,21,32,1,0.0625,0.0476,0.125,8,3,3
A_HP_046,A,HostParasite,2690,"Allactaga elater",Host,20,"Mesopsylla eucta",Parasite,6,17,39,1,0.5128,0.3529,0.305,1302,790,509
A_HP_010,A,HostParasite,2692,"Allactaga elater",Host,9,"Mesopsylla hebes",Parasite,3,18,31,1,0.2903,0.1667,0.158,253,77,3
A_HP_013,A,HostParasite,2692,"Allactaga elater",Host,10,"Mesopsylla hebes",Parasite,8,11,22,1,0.4545,0.7273,0.426,285,298,51
A_HP_029,A,HostParasite,2692,"Allactaga elater",Host,4,"Mesopsylla hebes",Parasite,4,15,34,1,0.1176,0.2667,0.155,104,125,78
A_HP_040,A,HostParasite,2692,"Allactaga elater",Host,1,"Mesopsylla hebes",Parasite,1,8,18,1,0.0556,0.125,0.194,2,2,2
A_HP_042,A,HostParasite,2692,"Allactaga elater",Host,2,"Mesopsylla hebes",Parasite,1,21,32,0,0.0625,0.0476,0.125,8,15,0
A_HP_010,A,HostParasite,2694,"Allactaga elater",Host,9,"Mesopsylla lenis",Parasite,5,18,31,1,0.2903,0.2778,0.158,253,164,141
A_HP_013,A,HostParasite,2694,"Allactaga elater",Host,10,"Mesopsylla lenis",Parasite,8,11,22,1,0.4545,0.7273,0.426,285,147,49
A_HP_042,A,HostParasite,2694,"Allactaga elater",Host,2,"Mesopsylla lenis",Parasite,1,21,32,1,0.0625,0.0476,0.125,8,5,5
A_HP_046,A,HostParasite,2694,"Allactaga elater",Host,20,"Mesopsylla lenis",Parasite,1,17,39,1,0.5128,0.0588,0.305,1302,55,55
A_HP_006,A,HostParasite,2683,"Allactaga elater",Host,2,"Mesopsylla tuschkan",Parasite,2,16,37,1,0.0541,0.125,0.208,13,10,5
A_HP_010,A,HostParasite,2683,"Allactaga elater",Host,9,"Mesopsylla tuschkan",Parasite,5,18,31,1,0.2903,0.2778,0.158,253,97,9
A_HP_013,A,HostParasite,2683,"Allactaga elater",Host,10,"Mesopsylla tuschkan",Parasite,7,11,22,1,0.4545,0.6364,0.426,285,227,48
A_HP_013,A,HostParasite,2716,"Allactaga elater",Host,10,"Neopsylla setosa",Parasite,7,11,22,1,0.4545,0.6364,0.426,285,1780,1
A_HP_046,A,HostParasite,2716,"Allactaga elater",Host,20,"Neopsylla setosa",Parasite,5,17,39,1,0.5128,0.2941,0.305,1302,4841,15
A_HP_006,A,HostParasite,2716,"Allactaga elater",Host,2,"Neopsylla setosa",Parasite,4,16,37,0,0.0541,0.25,0.208,13,3733,0
A_HP_029,A,HostParasite,2716,"Allactaga elater",Host,4,"Neopsylla setosa",Parasite,1,15,34,0,0.1176,0.0667,0.155,104,1367,0
A_HP_040,A,HostParasite,2716,"Allactaga elater",Host,1,"Neopsylla setosa",Parasite,1,8,18,0,0.0556,0.125,0.194,2,10,0
A_HP_042,A,HostParasite,2716,"Allactaga elater",Host,2,"Neopsylla setosa",Parasite,4,21,32,0,0.0625,0.1905,0.125,8,18,0
A_HP_010,A,HostParasite,2695,"Allactaga elater",Host,9,"Nosopsyllus consimilis",Parasite,7,18,31,1,0.2903,0.3889,0.158,253,43,2
A_HP_006,A,HostParasite,2695,"Allactaga elater",Host,2,"Nosopsyllus consimilis",Parasite,11,16,37,0,0.0541,0.6875,0.208,13,527,0
A_HP_038,A,HostParasite,2695,"Allactaga elater",Host,2,"Nosopsyllus consimilis",Parasite,6,10,20,0,0.1,0.6,0.26,29,249,0
A_HP_042,A,HostParasite,2695,"Allactaga elater",Host,2,"Nosopsyllus consimilis",Parasite,1,21,32,0,0.0625,0.0476,0.125,8,3,0
A_HP_046,A,HostParasite,2695,"Allactaga elater",Host,20,"Nosopsyllus consimilis",Parasite,6,17,39,0,0.5128,0.3529,0.305,1302,492,0
A_HP_046,A,HostParasite,2867,"Allactaga elater",Host,20,"Nosopsyllus fidus",Parasite,4,17,39,1,0.5128,0.2353,0.305,1302,14,2
A_HP_010,A,HostParasite,2867,"Allactaga elater",Host,9,"Nosopsyllus fidus",Parasite,3,18,31,0,0.2903,0.1667,0.158,253,20,0
A_HP_029,A,HostParasite,2867,"Allactaga elater",Host,4,"Nosopsyllus fidus",Parasite,6,15,34,0,0.1176,0.4,0.155,104,44,0
A_HP_038,A,HostParasite,2769,"Allactaga elater",Host,2,"Nosopsyllus iranus",Parasite,6,10,20,1,0.1,0.6,0.26,29,1792,5
A_HP_006,A,HostParasite,2769,"Allactaga elater",Host,2,"Nosopsyllus iranus",Parasite,6,16,37,0,0.0541,0.375,0.208,13,956,0
A_HP_013,A,HostParasite,2717,"Allactaga elater",Host,10,"Nosopsyllus laeviceps",Parasite,9,11,22,1,0.4545,0.8182,0.426,285,9777,28
A_HP_046,A,HostParasite,2717,"Allactaga elater",Host,20,"Nosopsyllus laeviceps",Parasite,9,17,39,1,0.5128,0.5294,0.305,1302,29717,25
A_HP_010,A,HostParasite,2717,"Allactaga elater",Host,9,"Nosopsyllus laeviceps",Parasite,4,18,31,0,0.2903,0.2222,0.158,253,329,0
A_HP_038,A,HostParasite,2717,"Allactaga elater",Host,2,"Nosopsyllus laeviceps",Parasite,3,10,20,0,0.1,0.3,0.26,29,398,0
A_HP_040,A,HostParasite,2717,"Allactaga elater",Host,1,"Nosopsyllus laeviceps",Parasite,2,8,18,0,0.0556,0.25,0.194,2,585,0
A_HP_010,A,HostParasite,2697,"Allactaga elater",Host,9,"Ophthalmopsylla volgensis",Parasite,7,18,31,1,0.2903,0.3889,0.158,253,77,37
A_HP_013,A,HostParasite,2697,"Allactaga elater",Host,10,"Ophthalmopsylla volgensis",Parasite,7,11,22,1,0.4545,0.6364,0.426,285,80,8
A_HP_046,A,HostParasite,2697,"Allactaga elater",Host,20,"Ophthalmopsylla volgensis",Parasite,4,17,39,1,0.5128,0.2353,0.305,1302,69,15
A_HP_006,A,HostParasite,2697,"Allactaga elater",Host,2,"Ophthalmopsylla volgensis",Parasite,2,16,37,0,0.0541,0.125,0.208,13,5,0
A_HP_013,A,HostParasite,2720,"Allactaga elater",Host,10,"Oropsylla ilovaiskii",Parasite,7,11,22,1,0.4545,0.6364,0.426,285,870,1
A_HP_029,A,HostParasite,2720,"Allactaga elater",Host,4,"Oropsylla ilovaiskii",Parasite,3,15,34,1,0.1176,0.2,0.155,104,1193,2
A_HP_006,A,HostParasite,2720,"Allactaga elater",Host,2,"Oropsylla ilovaiskii",Parasite,2,16,37,0,0.0541,0.125,0.208,13,712,0
A_HP_042,A,HostParasite,2720,"Allactaga elater",Host,2,"Oropsylla ilovaiskii",Parasite,1,21,32,0,0.0625,0.0476,0.125,8,3,0
A_HP_046,A,HostParasite,2869,"Allactaga elater",Host,20,"Paradoxopsyllus repandus",Parasite,5,17,39,1,0.5128,0.2941,0.305,1302,6411,7
A_HP_010,A,HostParasite,2869,"Allactaga elater",Host,9,"Paradoxopsyllus repandus",Parasite,1,18,31,0,0.2903,0.0556,0.158,253,2,0
A_HP_013,A,HostParasite,2869,"Allactaga elater",Host,10,"Paradoxopsyllus repandus",Parasite,1,11,22,0,0.4545,0.0909,0.426,285,3,0
A_HP_040,A,HostParasite,2869,"Allactaga elater",Host,1,"Paradoxopsyllus repandus",Parasite,1,8,18,0,0.0556,0.125,0.194,2,1507,0
A_HP_013,A,HostParasite,2722,"Allactaga elater",Host,10,"Rhadinopsylla cedestis",Parasite,6,11,22,1,0.4545,0.5455,0.426,285,1144,1
A_HP_046,A,HostParasite,2722,"Allactaga elater",Host,20,"Rhadinopsylla cedestis",Parasite,9,17,39,1,0.5128,0.5294,0.305,1302,12219,10
A_HP_006,A,HostParasite,2722,"Allactaga elater",Host,2,"Rhadinopsylla cedestis",Parasite,3,16,37,0,0.0541,0.1875,0.208,13,10,0
A_HP_010,A,HostParasite,2722,"Allactaga elater",Host,9,"Rhadinopsylla cedestis",Parasite,1,18,31,0,0.2903,0.0556,0.158,253,12,0
A_HP_029,A,HostParasite,2722,"Allactaga elater",Host,4,"Rhadinopsylla cedestis",Parasite,2,15,34,0,0.1176,0.1333,0.155,104,4,0
A_HP_040,A,HostParasite,2722,"Allactaga elater",Host,1,"Rhadinopsylla cedestis",Parasite,1,8,18,0,0.0556,0.125,0.194,2,74,0
A_HP_010,A,HostParasite,2700,"Allactaga elater",Host,9,"Xenopsylla conformis",Parasite,5,18,31,1,0.2903,0.2778,0.158,253,360,3
A_HP_046,A,HostParasite,2700,"Allactaga elater",Host,20,"Xenopsylla conformis",Parasite,12,17,39,1,0.5128,0.7059,0.305,1302,79362,76
A_HP_006,A,HostParasite,2700,"Allactaga elater",Host,2,"Xenopsylla conformis",Parasite,1,16,37,0,0.0541,0.0625,0.208,13,12,0
A_HP_013,A,HostParasite,2700,"Allactaga elater",Host,10,"Xenopsylla conformis",Parasite,3,11,22,0,0.4545,0.2727,0.426,285,87,0
A_HP_038,A,HostParasite,2700,"Allactaga elater",Host,2,"Xenopsylla conformis",Parasite,5,10,20,0,0.1,0.5,0.26,29,2137,0
A_HP_040,A,HostParasite,2700,"Allactaga elater",Host,1,"Xenopsylla conformis",Parasite,4,8,18,0,0.0556,0.5,0.194,2,204,0
A_HP_010,A,HostParasite,2701,"Allactaga elater",Host,9,"Xenopsylla gerbilli",Parasite,2,18,31,1,0.2903,0.1111,0.158,253,621,2
A_HP_046,A,HostParasite,2701,"Allactaga elater",Host,20,"Xenopsylla gerbilli",Parasite,12,17,39,1,0.5128,0.7059,0.305,1302,282554,103
A_HP_040,A,HostParasite,2701,"Allactaga elater",Host,1,"Xenopsylla gerbilli",Parasite,2,8,18,0,0.0556,0.25,0.194,2,26659,0
A_HP_013,A,HostParasite,2723,"Allactaga elater",Host,10,"Xenopsylla skrjabini",Parasite,9,11,22,1,0.4545,0.8182,0.426,285,107110,97
A_HP_010,A,HostParasite,2723,"Allactaga elater",Host,9,"Xenopsylla skrjabini",Parasite,2,18,31,0,0.2903,0.1111,0.158,253,2205,0
A_HP_010,A,HostParasite,2689,"Allactaga major",Host,3,"Ctenophthalmus arvalis",Parasite,10,18,31,1,0.0968,0.5556,0.158,61,66,2
A_HP_042,A,HostParasite,2689,"Allactaga major",Host,3,"Ctenophthalmus arvalis",Parasite,4,21,32,1,0.0938,0.1905,0.125,19,25,2
A_HP_032,A,HostParasite,2689,"Allactaga major",Host,1,"Ctenophthalmus arvalis",Parasite,7,14,13,0,0.0769,0.5,0.176,80,113,0
A_HP_013,A,HostParasite,2713,"Allactaga major",Host,6,"Echidnophaga oschanini",Parasite,5,11,22,1,0.2727,0.4545,0.426,274,882,2
A_HP_010,A,HostParasite,2713,"Allactaga major",Host,3,"Echidnophaga oschanini",Parasite,3,18,31,0,0.0968,0.1667,0.158,61,112,0
A_HP_050,A,HostParasite,2713,"Allactaga major",Host,1,"Echidnophaga oschanini",Parasite,4,27,35,0,0.0286,0.1481,0.239,62,24,0
A_HP_050,A,HostParasite,2884,"Allactaga major",Host,1,"Frontopsylla semura",Parasite,1,27,35,1,0.0286,0.037,0.239,62,62,62
