Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,id_pair
0.14,0.46,-0.77,1.08,1
0.08,0.49,-0.89,1.04,2
0.12,0.47,-0.78,1.05,3
-0.05,0.47,-0.96,0.87,4
0.02,0.48,-0.93,0.95,5
0.07,0.47,-0.84,1.02,6
-0.01,0.47,-0.91,0.9,7
0.11,0.47,-0.81,1.03,8
0.08,0.47,-0.83,1.01,9
-0.02,0.46,-0.94,0.89,10
-0.02,0.46,-0.94,0.88,11
0.01,0.47,-0.89,0.93,12
-0.02,0.46,-0.93,0.9,13
0.06,0.45,-0.81,0.96,14
-0.3,0.48,-1.26,0.64,15
0.03,0.46,-0.87,0.93,16
0.12,0.48,-0.8,1.08,17
0.05,0.47,-0.86,0.99,18
-0.08,0.48,-1.01,0.83,19
0.13,0.47,-0.78,1.05,20
0.07,0.48,-0.83,1.01,21
0.11,0.47,-0.81,1.05,22
0.12,0.47,-0.79,1.05,23
0.07,0.49,-0.87,1.04,24
0.05,0.49,-0.93,1.01,25
-0.12,0.46,-1,0.77,26
0.06,0.46,-0.83,0.94,27
0.11,0.47,-0.82,1.06,28
0.12,0.48,-0.8,1.11,29
0.05,0.46,-0.84,0.96,30
0.06,0.47,-0.85,0.96,31
0.17,0.48,-0.78,1.12,32
-0.02,0.47,-0.95,0.89,33
0.08,0.46,-0.81,1,34
0.12,0.48,-0.81,1.07,35
-0.06,0.47,-0.99,0.86,36
0.08,0.45,-0.81,0.97,37
0.01,0.46,-0.89,0.92,38
-0.03,0.45,-0.92,0.85,39
-0.02,0.46,-0.88,0.88,40
0.02,0.46,-0.86,0.95,41
0.19,0.45,-0.72,1.09,42
-0.01,0.46,-0.92,0.91,43
0.1,0.48,-0.84,1.05,44
-0.1,0.47,-1,0.81,45
-0.22,0.47,-1.16,0.67,46
0.15,0.47,-0.8,1.09,47
-0.11,0.47,-1.04,0.84,48
0.23,0.46,-0.67,1.15,49
-0.14,0.48,-1.09,0.79,50
-0.1,0.45,-0.96,0.77,51
-0.07,0.46,-1,0.84,52
0.02,0.47,-0.91,0.93,53
0.17,0.44,-0.68,1.06,54
0.02,0.46,-0.86,0.93,55
0.17,0.47,-0.76,1.11,56
-0.13,0.45,-1.04,0.74,57
-0.05,0.44,-0.91,0.84,58
0.01,0.45,-0.87,0.86,59
-0.04,0.48,-0.97,0.91,60
-0.01,0.47,-0.96,0.94,61
0.03,0.47,-0.88,0.97,62
-0.05,0.45,-0.94,0.84,63
0.18,0.46,-0.72,1.11,64
0.11,0.47,-0.83,1.07,65
-0.02,0.47,-0.96,0.9,66
0.15,0.47,-0.79,1.1,67
-0.03,0.46,-0.94,0.87,68
-0.03,0.46,-0.95,0.84,69
0.1,0.44,-0.78,0.97,70
0.11,0.46,-0.76,1,71
0.04,0.46,-0.85,0.95,72
-0.03,0.46,-0.93,0.88,73
0.17,0.46,-0.74,1.1,74
-0.01,0.46,-0.93,0.87,75
0.04,0.44,-0.82,0.91,76
-0,0.46,-0.91,0.94,77
-0.06,0.45,-0.97,0.82,78
0.2,0.47,-0.72,1.12,79
-0,0.46,-0.92,0.9,80
0.17,0.48,-0.75,1.1,81
-0.06,0.46,-0.99,0.86,82
0.14,0.47,-0.76,1.08,83
0.16,0.46,-0.74,1.08,84
-0.03,0.46,-0.96,0.86,85
-0.03,0.48,-1,0.92,86
0.19,0.47,-0.75,1.1,87
0.14,0.47,-0.77,1.09,88
0.02,0.48,-0.92,1,89
0.02,0.49,-0.94,1,90
0.02,0.5,-0.95,1.03,91
-0.12,0.48,-1.07,0.84,92
0.11,0.47,-0.8,1.07,93
0.11,0.46,-0.77,1.01,94
-0,0.49,-0.96,0.97,95
-0.13,0.47,-1.04,0.78,96
-0.51,0.47,-1.48,0.4,97
-0.04,0.47,-0.96,0.87,98
-0.35,0.46,-1.27,0.56,99
-0.3,0.47,-1.21,0.63,100
-0.17,0.48,-1.08,0.76,101
-0.11,0.47,-1.05,0.8,102
-0.02,0.47,-0.96,0.92,103
-0.04,0.48,-0.98,0.9,104
-0.02,0.49,-0.97,0.95,105
-0.08,0.47,-1.01,0.82,106
-0.09,0.47,-1.01,0.81,107
0,0.47,-0.93,0.92,108
0.18,0.48,-0.75,1.13,109
0.16,0.48,-0.78,1.11,110
-0.03,0.46,-0.96,0.87,111
-0.05,0.47,-0.97,0.84,112
-0.06,0.47,-1.03,0.86,113
0.04,0.46,-0.86,0.96,114
0,0.47,-0.94,0.91,115
-0.02,0.47,-0.96,0.89,116
-0.03,0.45,-0.92,0.85,117
-0.12,0.46,-1.03,0.77,118
0.05,0.46,-0.88,0.95,119
0.22,0.49,-0.74,1.19,120
0.05,0.45,-0.83,0.94,121
-0.04,0.46,-0.93,0.89,122
-0.11,0.47,-1.07,0.79,123
0.01,0.47,-0.93,0.94,124
-0.11,0.45,-0.99,0.77,125
-0.04,0.46,-0.97,0.85,126
0.02,0.47,-0.93,0.94,127
-0.01,0.46,-0.88,0.88,128
0.06,0.47,-0.84,0.97,129
-0.1,0.47,-1.01,0.8,130
0.03,0.45,-0.86,0.91,131
0.01,0.48,-0.93,1,132
-0.01,0.46,-0.89,0.9,133
-0.15,0.47,-1.09,0.77,134
-0.05,0.47,-0.96,0.89,135
-0.09,0.46,-0.98,0.85,136
-0.02,0.47,-0.97,0.91,137
0.02,0.47,-0.92,0.9,138
0,0.45,-0.88,0.91,139
0,0.46,-0.89,0.91,140
-0.05,0.46,-0.97,0.85,141
-0.03,0.46,-0.94,0.89,142
-0.14,0.45,-1.03,0.74,143
-0.06,0.48,-1.01,0.89,144
-0.19,0.47,-1.14,0.7,145
-0.02,0.46,-0.91,0.91,146
-0.01,0.45,-0.91,0.88,147
-0.06,0.45,-0.96,0.84,148
-0.04,0.47,-0.96,0.91,149
0.01,0.47,-0.9,0.96,150
-0.04,0.47,-0.97,0.89,151
-0,0.46,-0.88,0.89,152
0.03,0.46,-0.9,0.92,153
-0.09,0.47,-1.03,0.81,154
-0.2,0.45,-1.1,0.7,155
-0.02,0.47,-0.93,0.88,156
0.03,0.47,-0.9,0.94,157
-0.01,0.45,-0.93,0.86,158
-0.02,0.47,-0.96,0.93,159
-0.02,0.47,-0.94,0.89,160
-0.04,0.45,-0.95,0.82,161
-0.02,0.45,-0.91,0.85,162
-0.06,0.45,-0.94,0.82,163
-0.1,0.47,-1.02,0.85,164
-0.08,0.47,-0.98,0.84,165
0.14,0.48,-0.76,1.07,166
0.13,0.47,-0.78,1.03,167
0.12,0.48,-0.81,1.03,168
-0.09,0.46,-1,0.82,169
-0.1,0.47,-1.03,0.82,170
-0.04,0.47,-0.98,0.89,171
-0.04,0.46,-0.97,0.87,172
-0.07,0.45,-0.96,0.81,173
-0.11,0.47,-1.05,0.82,174
-0.15,0.47,-1.06,0.77,175
-0.02,0.45,-0.88,0.87,176
0.18,0.47,-0.72,1.11,177
-0.03,0.46,-0.94,0.87,178
0.04,0.47,-0.9,0.98,179
-0.1,0.48,-1.05,0.86,180
-0.02,0.47,-0.97,0.91,181
-0.14,0.48,-1.08,0.79,182
0.01,0.49,-0.96,0.96,183
0.03,0.49,-0.94,0.98,184
0.03,0.47,-0.86,0.94,185
-0,0.49,-0.98,0.92,186
-0,0.48,-0.96,0.92,187
-0.02,0.47,-0.93,0.9,188
-0.04,0.48,-0.98,0.92,189
-0.05,0.48,-1,0.87,190
-0.02,0.49,-0.97,0.98,191
-0.02,0.48,-0.97,0.94,192
-0.06,0.47,-0.99,0.86,193
-0.01,0.48,-0.99,0.95,194
0.04,0.47,-0.88,0.98,195
0.03,0.47,-0.88,0.95,196
0.11,0.46,-0.81,1.01,197
0.06,0.47,-0.87,0.95,198
