Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,network_id
1.66,0.41,0.85,2.45,1
1.14,0.39,0.4,1.9,2
-0.26,0.58,-1.39,0.88,3
0.62,0.49,-0.32,1.58,7
1.02,0.47,0.1,1.94,8
1.02,0.56,-0.08,2.12,9
1.12,0.52,0.13,2.16,10
1.02,0.49,0.05,1.98,11
-0.97,0.37,-1.69,-0.24,13
-1.64,0.39,-2.39,-0.89,14
-0.64,0.78,-2.22,0.8,16
-0.21,0.47,-1.08,0.75,17
0.03,1.43,-2.74,2.88,18
0.04,1.5,-2.98,3.03,19
0.11,0.58,-1.01,1.25,20
0.37,1.09,-1.69,2.55,21
0.07,0.57,-1.06,1.19,22
0.68,0.94,-1.03,2.6,23
1.77,0.52,0.76,2.77,25
-1.14,0.51,-2.14,-0.15,27
1.18,0.45,0.3,2.07,28
0.65,0.56,-0.39,1.74,29
-0.34,0.39,-1.1,0.41,30
1.7,0.3,1.08,2.29,31
-1.14,0.85,-2.72,0.55,32
-0.79,1.21,-3.3,1.43,33
-0.95,0.4,-1.74,-0.17,34
1.2,0.27,0.68,1.71,35
-0.48,1.3,-3.06,2,37
-2.76,0.72,-4.14,-1.36,38
-1.7,1.32,-4.2,0.88,39
0.3,0.74,-1.15,1.74,40
3.16,0.85,1.61,4.9,41
3.26,0.53,2.3,4.36,42
3.99,0.64,2.84,5.29,43
-1.15,1.1,-3.19,1.08,46
-0.81,1.06,-2.91,1.25,48
-0.54,0.99,-2.55,1.35,49
0.28,1.35,-2.25,3.03,50
0.3,0.47,-0.6,1.24,51
-0.25,0.45,-1.12,0.66,53
0.45,1.29,-2,2.98,56
1.1,0.88,-0.53,2.96,57
-1.9,0.94,-3.72,-0.09,58
1.05,0.31,0.45,1.65,59
0.52,0.9,-1.36,2.22,60
-0.98,0.55,-2.04,0.13,61
-1.18,0.9,-2.87,0.65,62
-0.56,0.28,-1.11,-0.01,63
0.04,0.28,-0.51,0.58,64
0.92,0.37,0.18,1.62,65
-1.18,0.56,-2.29,-0.08,66
1.21,1.13,-0.85,3.63,67
-1.74,0.46,-2.64,-0.85,68
0.76,0.3,0.15,1.35,69
0.71,0.29,0.14,1.26,70
0.65,0.35,-0.04,1.35,71
0.94,0.37,0.23,1.65,72
1.61,0.27,1.09,2.12,73
-0.68,0.5,-1.68,0.29,74
-0.32,1.37,-3.05,2.28,79
2.62,0.5,1.62,3.61,80
2.71,0.57,1.65,3.89,81
2.63,0.53,1.58,3.68,82
-1.44,0.85,-3.09,0.31,84
-1.81,0.73,-3.2,-0.31,85
-2.35,1.01,-4.28,-0.31,86
-2.93,0.66,-4.24,-1.65,87
-3.08,0.7,-4.45,-1.69,88
-0.74,1.2,-3.06,1.6,89
-2.07,0.83,-3.77,-0.48,90
-0.73,0.57,-1.84,0.41,91
0.04,0.45,-0.86,0.92,93
1.13,0.28,0.56,1.7,94
-1.97,0.33,-2.62,-1.33,95
-0.38,0.43,-1.22,0.44,96
-1.36,0.62,-2.57,-0.12,97
1.26,0.31,0.64,1.85,98
0.17,0.37,-0.56,0.89,99
0.94,0.36,0.25,1.65,100
0.22,0.31,-0.38,0.83,101
1.46,0.29,0.89,2.04,102
-2.07,0.52,-3.08,-1.08,103
-0.65,0.4,-1.44,0.13,104
-0.51,0.35,-1.19,0.2,105
-0.01,0.37,-0.73,0.71,106
-1.69,0.75,-3.14,-0.22,107
-0.37,0.43,-1.17,0.49,108
-0.41,0.65,-1.67,0.8,109
-0.69,0.28,-1.27,-0.14,110
0.46,0.34,-0.23,1.12,111
-0.76,0.3,-1.35,-0.17,112
-1.14,0.36,-1.83,-0.43,113
1.16,0.31,0.55,1.75,114
-2.63,0.4,-3.42,-1.83,115
0.16,0.42,-0.67,0.97,116
1.82,0.31,1.2,2.43,117
-1.88,0.32,-2.51,-1.24,118
0.62,0.3,0.06,1.19,119
-0.15,0.5,-1.15,0.81,120
1.84,0.29,1.28,2.42,121
0.96,0.39,0.21,1.75,122
0.97,0.26,0.48,1.48,123
1.36,0.35,0.67,2.04,124
0.09,0.29,-0.5,0.65,125
-1.46,0.45,-2.34,-0.58,126
-0.65,0.52,-1.68,0.32,127
0.75,0.4,-0.03,1.51,128
0.5,0.29,-0.08,1.08,129
0.76,0.37,0.03,1.49,130
-1.25,0.44,-2.11,-0.4,131
0.75,0.41,-0.06,1.55,132
-0.66,0.44,-1.54,0.21,133
1.7,0.28,1.15,2.24,134
0.41,0.33,-0.25,1.06,135
0.25,0.26,-0.26,0.76,136
-1.32,0.47,-2.22,-0.36,137
1.13,0.34,0.46,1.8,138
0.59,0.39,-0.17,1.38,139
-0.92,0.35,-1.62,-0.25,140
-0.5,0.45,-1.38,0.37,141
1.14,0.33,0.48,1.76,142
0.2,0.3,-0.4,0.78,143
0.28,0.94,-1.47,2.17,144
0.81,0.76,-0.64,2.29,173
0.81,0.75,-0.66,2.31,174
-0.27,0.75,-1.77,1.18,175
-0.75,0.76,-2.23,0.77,176
0.1,1.38,-2.55,2.89,178
0.64,0.45,-0.23,1.54,243
-1.26,0.78,-2.72,0.39,246
0.35,1.31,-2.16,3.07,247
-1.61,1.26,-3.95,1.01,250
-2.23,0.75,-3.69,-0.72,253
-1.31,1.2,-3.55,1.14,254
-0.01,1.47,-2.88,2.92,255
