Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_1
0.06,0.38,-0.66,0.81,Achillea millefolium
-0.02,0.42,-0.84,0.8,Adenophora triphylla
0.05,0.48,-0.91,1.01,Aechmea nudicaulis
-0.11,0.46,-1.03,0.81,Aechmea vanhoutteana
0.29,0.45,-0.56,1.19,Aegopodium podagraria
-0.04,0.39,-0.79,0.73,Agrimonia pilosa
-0.13,0.43,-0.99,0.73,Alangium platanifolium
0.16,0.47,-0.75,1.09,Alchornea glandulosa
0.16,0.41,-0.63,0.95,Alchornea latifolia
-0.25,0.25,-0.75,0.23,Allactaga elater
0,0.28,-0.55,0.56,Allactaga major
0.2,0.41,-0.58,1.01,Allactaga severtzovi
0.53,0.35,-0.16,1.23,Allactaga sibirica
0.12,0.48,-0.84,1.09,Allium scorodoprasum
0.32,0.34,-0.35,1,Allocricetulus eversmanni
-0.3,0.26,-0.8,0.22,Alticola argentatus
0.41,0.4,-0.34,1.21,Alticola strelzowi
0.22,0.45,-0.66,1.13,Amelanchier ovalis
0.15,0.41,-0.66,0.98,Ampelopsis brevipedunculata
0.21,0.46,-0.66,1.12,Anaphalis margaritacea
0.04,0.42,-0.77,0.84,Anarthrophyllum cumingii
-0.18,0.32,-0.82,0.43,Angelica polymorpha
-0.23,0.25,-0.73,0.26,Angelica pubescens
-1.01,0.35,-1.69,-0.33,Angelica sylvestris
0.12,0.41,-0.64,0.93,Anthurium scandens
0.1,0.44,-0.76,0.96,Apocynum androsaemifolium
-0.59,0.22,-1.02,-0.17,Apodemus agrarius
-0.43,0.29,-1.02,0.12,Apodemus flavicollis
-0.62,0.27,-1.15,-0.11,Apodemus peninsulae
-0.13,0.33,-0.79,0.5,Apodemus sylvaticus
-0.63,0.17,-0.98,-0.3,Apodemus uralensis
0.11,0.43,-0.74,0.99,Arnica alpina
-0.41,0.2,-0.81,-0.03,Arvicola terrestris
-0.06,0.37,-0.8,0.63,Aster ageratoides
0.13,0.45,-0.76,1.02,Aster ageratoides amplexifolius
0,0.34,-0.67,0.68,Aster glehni
-0.08,0.25,-0.56,0.39,Astilbe thunbergii
0.27,0.45,-0.6,1.2,Astragalus curvicaulis
0,0.48,-0.94,0.97,Berberis buxifolia
-0.03,0.47,-0.95,0.89,Berberis darwinii
-0.03,0.47,-0.96,0.92,Berberis empetrifolia
-0.45,0.43,-1.3,0.39,Berberis vulgaris
