Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,id_pair
0.13,0.46,-0.76,1.04,1
0.07,0.48,-0.86,1,2
0.12,0.47,-0.79,1.04,3
-0.06,0.46,-0.99,0.85,4
0.03,0.47,-0.87,0.98,5
0.07,0.48,-0.87,1,6
-0,0.47,-0.92,0.95,7
0.11,0.48,-0.85,1.06,8
0.08,0.48,-0.87,1.01,9
-0.02,0.46,-0.91,0.91,10
-0.01,0.46,-0.93,0.89,11
-0,0.46,-0.91,0.91,12
-0.02,0.47,-0.94,0.91,13
0.06,0.47,-0.84,1,14
-0.3,0.47,-1.24,0.63,15
0.04,0.48,-0.92,1,16
0.12,0.46,-0.78,1.03,17
0.04,0.47,-0.86,0.96,18
-0.09,0.46,-0.95,0.8,19
0.12,0.47,-0.77,1.06,20
0.06,0.48,-0.86,1.01,21
0.12,0.47,-0.8,1.07,22
0.12,0.48,-0.81,1.07,23
0.06,0.48,-0.89,0.99,24
0.05,0.47,-0.86,0.97,25
-0.12,0.47,-1.03,0.78,26
0.06,0.48,-0.88,0.98,27
0.12,0.47,-0.81,1.07,28
0.12,0.48,-0.81,1.06,29
0.04,0.49,-0.92,1.01,30
0.05,0.47,-0.86,0.99,31
0.17,0.46,-0.73,1.09,32
-0.01,0.48,-0.93,0.94,33
0.08,0.47,-0.84,1,34
0.11,0.47,-0.83,1.04,35
-0.06,0.47,-0.99,0.86,36
0.08,0.47,-0.85,1.02,37
0.01,0.47,-0.92,0.93,38
-0.03,0.47,-0.93,0.89,39
-0.02,0.46,-0.91,0.87,40
0.02,0.47,-0.9,0.95,41
0.19,0.47,-0.73,1.15,42
-0,0.47,-0.94,0.92,43
0.1,0.46,-0.8,1,44
-0.11,0.47,-1.05,0.84,45
-0.23,0.46,-1.17,0.63,46
0.16,0.46,-0.72,1.05,47
-0.1,0.47,-1.01,0.83,48
0.24,0.46,-0.64,1.14,49
-0.14,0.48,-1.06,0.81,50
-0.1,0.46,-1.03,0.79,51
-0.08,0.46,-0.98,0.84,52
0.01,0.46,-0.9,0.93,53
0.18,0.47,-0.72,1.11,54
0.01,0.47,-0.9,0.93,55
0.17,0.48,-0.77,1.11,56
-0.14,0.45,-1.04,0.75,57
-0.04,0.45,-0.95,0.84,58
0.01,0.47,-0.91,0.93,59
-0.04,0.47,-0.97,0.86,60
-0.02,0.45,-0.9,0.88,61
0.02,0.47,-0.91,0.95,62
-0.05,0.45,-0.94,0.82,63
0.17,0.46,-0.72,1.07,64
0.12,0.46,-0.8,1.05,65
-0.02,0.46,-0.9,0.86,66
0.16,0.48,-0.79,1.13,67
-0.02,0.46,-0.91,0.91,68
-0.03,0.47,-0.94,0.92,69
0.12,0.46,-0.78,1.04,70
0.11,0.46,-0.78,1.03,71
0.03,0.48,-0.9,0.94,72
-0.01,0.45,-0.87,0.87,73
0.17,0.46,-0.73,1.1,74
-0.01,0.45,-0.9,0.87,75
0.04,0.44,-0.83,0.89,76
-0,0.46,-0.91,0.91,77
-0.04,0.48,-0.97,0.9,78
0.2,0.45,-0.67,1.09,79
-0.01,0.48,-0.93,0.94,80
0.18,0.47,-0.74,1.13,81
-0.05,0.46,-0.96,0.86,82
0.13,0.48,-0.78,1.07,83
0.15,0.47,-0.76,1.06,84
-0.04,0.46,-0.94,0.84,85
-0.03,0.47,-0.96,0.91,86
0.19,0.48,-0.76,1.14,87
0.14,0.48,-0.78,1.09,88
0.04,0.48,-0.9,0.98,89
0.01,0.48,-0.94,0.98,90
0.02,0.49,-0.94,1.01,91
-0.12,0.46,-1.03,0.78,92
0.11,0.48,-0.82,1.05,93
0.11,0.48,-0.84,1.06,94
-0,0.48,-0.96,0.93,95
-0.12,0.48,-1.06,0.83,96
-0.5,0.46,-1.43,0.38,97
-0.04,0.46,-0.97,0.88,98
-0.35,0.47,-1.28,0.54,99
-0.31,0.48,-1.25,0.63,100
-0.15,0.47,-1.07,0.77,101
-0.12,0.49,-1.07,0.84,102
-0.02,0.47,-0.95,0.9,103
-0.04,0.48,-1.02,0.9,104
-0.01,0.47,-0.95,0.94,105
-0.08,0.46,-0.99,0.8,106
-0.09,0.46,-0.99,0.79,107
-0.01,0.47,-0.92,0.9,108
0.17,0.47,-0.75,1.08,109
0.15,0.46,-0.75,1.07,110
-0.03,0.46,-0.94,0.87,111
-0.05,0.46,-0.96,0.85,112
-0.07,0.46,-1.01,0.86,113
0.05,0.47,-0.85,0.97,114
-0.01,0.48,-0.94,0.93,115
0,0.46,-0.89,0.89,116
-0.04,0.46,-0.95,0.86,117
-0.11,0.45,-0.99,0.78,118
0.05,0.47,-0.9,0.96,119
0.2,0.47,-0.72,1.16,120
0.03,0.46,-0.91,0.95,121
-0.03,0.46,-0.96,0.84,122
-0.11,0.45,-1.01,0.77,123
0.01,0.47,-0.91,0.94,124
-0.11,0.47,-1.02,0.81,125
-0.04,0.48,-1,0.92,126
0.02,0.47,-0.9,0.92,127
-0.01,0.46,-0.9,0.89,128
0.06,0.47,-0.87,0.97,129
-0.1,0.46,-1.02,0.8,130
0.03,0.47,-0.9,1,131
0.01,0.47,-0.9,0.94,132
-0,0.48,-0.98,0.95,133
-0.15,0.47,-1.07,0.76,134
-0.05,0.47,-0.97,0.88,135
-0.08,0.48,-1.03,0.84,136
-0.03,0.47,-0.94,0.89,137
0.02,0.48,-0.92,0.98,138
-0,0.47,-0.89,0.92,139
-0.01,0.47,-0.93,0.93,140
-0.05,0.47,-0.98,0.87,141
-0.01,0.48,-0.96,0.93,142
-0.14,0.48,-1.07,0.79,143
-0.07,0.46,-0.98,0.83,144
-0.2,0.47,-1.16,0.71,145
-0.03,0.47,-0.94,0.91,146
-0.01,0.46,-0.93,0.91,147
-0.06,0.48,-0.99,0.87,148
-0.03,0.45,-0.91,0.88,149
0.01,0.47,-0.93,0.96,150
-0.05,0.45,-0.94,0.85,151
-0.01,0.46,-0.92,0.91,152
0.03,0.47,-0.88,0.95,153
-0.1,0.46,-1.02,0.83,154
-0.2,0.45,-1.07,0.68,155
-0.03,0.46,-0.93,0.9,156
0.03,0.47,-0.91,0.95,157
0,0.48,-0.93,0.93,158
-0.01,0.47,-0.92,0.93,159
-0.03,0.48,-0.97,0.93,160
-0.05,0.45,-0.92,0.84,161
-0.01,0.48,-0.98,0.97,162
-0.07,0.46,-0.95,0.85,163
-0.09,0.46,-0.98,0.8,164
-0.08,0.49,-1.02,0.88,165
0.14,0.47,-0.78,1.09,166
0.13,0.47,-0.77,1.06,167
0.1,0.47,-0.81,1.03,168
-0.09,0.46,-1.02,0.85,169
-0.1,0.47,-1.05,0.83,170
-0.05,0.47,-0.97,0.84,171
-0.04,0.48,-1,0.91,172
-0.07,0.46,-0.98,0.84,173
-0.11,0.46,-1.03,0.78,174
-0.16,0.47,-1.09,0.75,175
-0.02,0.47,-0.98,0.93,176
0.18,0.48,-0.75,1.15,177
-0.02,0.46,-0.95,0.89,178
0.03,0.48,-0.91,0.98,179
-0.1,0.47,-1.03,0.82,180
-0.02,0.47,-0.98,0.89,181
-0.15,0.48,-1.11,0.78,182
-0,0.49,-0.95,0.96,183
0.02,0.49,-0.93,0.96,184
0.04,0.47,-0.91,0.95,185
-0.01,0.47,-0.95,0.91,186
-0.01,0.47,-0.93,0.9,187
-0.03,0.49,-0.99,0.93,188
-0.04,0.49,-0.99,0.92,189
-0.05,0.47,-0.96,0.88,190
-0.01,0.49,-0.99,0.96,191
-0.01,0.47,-0.92,0.93,192
-0.06,0.48,-1.02,0.87,193
-0.03,0.48,-0.98,0.94,194
0.04,0.48,-0.9,1,195
0.03,0.47,-0.93,0.98,196
0.12,0.47,-0.82,1.06,197
0.05,0.47,-0.89,0.98,198
-0.24,0.47,-1.17,0.69,199
-0.12,0.44,-0.98,0.73,200
-0.01,0.47,-0.91,0.9,201
0.12,0.48,-0.82,1.06,202
0.08,0.47,-0.84,1.03,203
-0.33,0.47,-1.29,0.6,204
0.2,0.46,-0.73,1.14,205
-0.03,0.46,-0.95,0.89,206
0.03,0.49,-0.93,1,207
0.1,0.47,-0.81,1.02,208
