Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,network_id
1.64,0.41,0.87,2.46,1
1.11,0.39,0.37,1.88,2
-0.29,0.57,-1.42,0.79,3
0.64,0.49,-0.31,1.64,7
1.04,0.47,0.12,2,8
1.04,0.53,0.01,2.09,9
1.14,0.51,0.09,2.14,10
1,0.48,0.05,1.93,11
-0.98,0.37,-1.72,-0.28,13
-1.66,0.39,-2.42,-0.92,14
-0.66,0.79,-2.26,0.87,16
-0.22,0.47,-1.16,0.7,17
0.05,1.42,-2.74,2.87,18
0,1.51,-2.94,3.05,19
0.12,0.59,-1.03,1.29,20
0.39,1.04,-1.61,2.52,21
0.08,0.57,-1.03,1.19,22
0.69,0.97,-1.14,2.62,23
1.8,0.52,0.79,2.84,25
-1.14,0.52,-2.2,-0.17,27
1.17,0.45,0.27,2.06,28
0.64,0.57,-0.44,1.74,29
-0.35,0.39,-1.11,0.42,30
1.69,0.31,1.07,2.32,31
-1.14,0.85,-2.73,0.63,32
-0.83,1.23,-3.35,1.48,33
-0.96,0.42,-1.79,-0.15,34
1.18,0.27,0.66,1.71,35
-0.5,1.33,-3.18,1.97,37
-2.76,0.72,-4.2,-1.39,38
-1.71,1.32,-4.19,0.97,39
0.31,0.79,-1.23,1.86,40
3.15,0.85,1.63,4.95,41
3.26,0.52,2.27,4.31,42
3.97,0.68,2.79,5.42,43
-1.16,1.12,-3.25,1.13,46
-0.82,1.07,-2.98,1.18,48
-0.56,1.01,-2.57,1.41,49
0.3,1.37,-2.4,3.07,50
0.27,0.49,-0.69,1.23,51
-0.28,0.46,-1.16,0.65,53
0.42,1.3,-2.04,2.99,56
1.12,0.89,-0.59,2.97,57
-1.9,0.98,-3.85,0.07,58
1.04,0.32,0.39,1.65,59
0.51,0.91,-1.36,2.23,60
-0.99,0.53,-2.01,0.06,61
-1.18,0.91,-2.85,0.71,62
-0.58,0.29,-1.15,-0.02,63
0.02,0.29,-0.57,0.57,64
0.9,0.37,0.16,1.64,65
-1.21,0.57,-2.34,-0.08,66
1.25,1.18,-0.83,3.74,67
-1.77,0.47,-2.71,-0.85,68
0.75,0.31,0.15,1.37,69
0.69,0.29,0.1,1.28,70
0.64,0.35,-0.05,1.3,71
0.92,0.37,0.18,1.64,72
1.6,0.27,1.08,2.12,73
-0.71,0.51,-1.71,0.29,74
-0.31,1.35,-3.02,2.28,79
2.64,0.49,1.71,3.6,80
2.73,0.56,1.66,3.84,81
2.65,0.53,1.63,3.74,82
-1.45,0.85,-3.09,0.22,84
-1.82,0.71,-3.21,-0.4,85
-2.37,1.03,-4.38,-0.33,86
-2.91,0.68,-4.24,-1.6,87
-3.07,0.71,-4.48,-1.73,88
-0.71,1.22,-3.06,1.63,89
-2.05,0.82,-3.73,-0.47,90
-0.75,0.6,-1.93,0.44,91
0.05,0.46,-0.86,0.94,93
1.15,0.28,0.61,1.71,94
-1.96,0.33,-2.62,-1.31,95
-0.38,0.43,-1.23,0.49,96
-1.36,0.62,-2.59,-0.15,97
1.28,0.3,0.67,1.89,98
0.19,0.38,-0.56,0.96,99
0.95,0.36,0.26,1.67,100
0.23,0.31,-0.38,0.84,101
1.48,0.29,0.92,2.05,102
-2.06,0.51,-3.07,-1.03,103
-0.63,0.4,-1.42,0.17,104
-0.5,0.36,-1.18,0.22,105
-0,0.37,-0.71,0.73,106
-1.71,0.74,-3.17,-0.29,107
-0.38,0.43,-1.21,0.46,108
-0.41,0.65,-1.71,0.85,109
-0.68,0.29,-1.24,-0.12,110
0.47,0.34,-0.18,1.15,111
-0.75,0.31,-1.32,-0.14,112
-1.14,0.35,-1.82,-0.46,113
1.18,0.31,0.57,1.79,114
-2.63,0.4,-3.39,-1.81,115
0.17,0.41,-0.63,0.96,116
1.84,0.31,1.22,2.46,117
-1.87,0.31,-2.48,-1.26,118
0.64,0.3,0.07,1.24,119
-0.14,0.51,-1.14,0.87,120
1.85,0.3,1.28,2.43,121
0.97,0.38,0.23,1.71,122
0.98,0.26,0.49,1.5,123
1.36,0.36,0.65,2.07,124
0.09,0.29,-0.48,0.67,125
-1.44,0.44,-2.31,-0.57,126
-0.64,0.52,-1.66,0.36,127
0.76,0.4,-0.02,1.56,128
0.51,0.29,-0.06,1.09,129
0.77,0.37,0.05,1.48,130
-1.23,0.44,-2.09,-0.36,131
0.76,0.4,-0.02,1.55,132
-0.65,0.44,-1.5,0.22,133
1.72,0.28,1.18,2.29,134
0.42,0.33,-0.24,1.05,135
0.26,0.26,-0.23,0.77,136
-1.31,0.46,-2.23,-0.44,137
1.15,0.34,0.49,1.82,138
0.6,0.4,-0.17,1.4,139
-0.91,0.36,-1.62,-0.22,140
-0.5,0.44,-1.39,0.34,141
1.15,0.33,0.51,1.8,142
0.21,0.3,-0.39,0.8,143
0.31,0.93,-1.5,2.2,144
0.76,0.78,-0.8,2.24,173
0.76,0.77,-0.79,2.28,174
-0.31,0.77,-1.86,1.15,175
-0.8,0.77,-2.37,0.65,176
0.13,1.44,-2.64,3.07,178
0.62,0.45,-0.27,1.52,243
-1.28,0.78,-2.73,0.27,246
0.32,1.29,-2.15,3,247
-1.59,1.25,-3.86,0.89,250
-2.23,0.77,-3.71,-0.71,253
-1.3,1.16,-3.49,1.09,254
0.02,1.43,-2.76,2.84,255
