Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_2
-0.01,0.22,-0.46,0.44,Abraxas grossulariata
-0.04,0.22,-0.48,0.39,Acronicta psi
-0,0.23,-0.45,0.45,Acronicta strigosa
0,0.23,-0.44,0.47,Actina jezoensis
0.03,0.22,-0.42,0.46,Adela cuprella
0.05,0.22,-0.37,0.49,Adelphocoris triannulatus
0.01,0.23,-0.46,0.48,Adoxia obscura
0.08,0.22,-0.33,0.55,Adscita statices
-0.05,0.22,-0.5,0.39,Aedes impiger
-0.13,0.23,-0.62,0.31,Aedes nigripes
0.02,0.23,-0.42,0.48,Agapostemon splendens
0.01,0.22,-0.43,0.44,Agelastica coerulea
-0.03,0.22,-0.46,0.4,Ageneotettix deorum
0,0.23,-0.44,0.46,Agraulis vanillae
-0.01,0.22,-0.45,0.44,Agriopis marginaria
-0.01,0.23,-0.47,0.44,Allograpta hortensis
0.01,0.22,-0.43,0.47,Allophyes oxycanthae
-0.01,0.22,-0.47,0.42,Alloscirtetica rufitarsis
0.03,0.22,-0.4,0.49,Amalaraeus arvicolae
0.02,0.22,-0.44,0.46,Amalaraeus ioffi
-0.3,0.16,-0.61,-0,Amalaraeus penicilliger
0.04,0.22,-0.39,0.48,Amegilla canifrons
0.05,0.23,-0.41,0.51,Amegilla quadrifasciata
0.05,0.22,-0.39,0.52,Amphalius runatus
0,0.21,-0.43,0.43,Amphipsylla anceps
0,0.22,-0.44,0.44,Amphipsylla asiatica
0.16,0.21,-0.23,0.61,Amphipsylla dumalis
0.09,0.22,-0.34,0.55,Amphipsylla georgica
0.07,0.23,-0.4,0.54,Amphipsylla kalabukhovi
0.08,0.2,-0.3,0.49,Amphipsylla kuznetzovi
-0.08,0.22,-0.54,0.34,Amphipsylla longispina
0.08,0.22,-0.34,0.54,Amphipsylla marikovskii
0.02,0.23,-0.44,0.5,Amphipsylla montana
-0.01,0.22,-0.45,0.41,Amphipsylla phaiomydis
0.05,0.22,-0.4,0.5,Amphipsylla prima
-0.09,0.19,-0.48,0.28,Amphipsylla primaris
0.04,0.17,-0.3,0.38,Amphipsylla rossica
0.09,0.2,-0.29,0.51,Amphipsylla schelkovnikovi
0.02,0.18,-0.34,0.37,Amphipsylla sibirica
-0.07,0.21,-0.49,0.32,Amphipsylla vinogradovi
0.03,0.22,-0.4,0.47,Anarta myrtilli
0.02,0.22,-0.42,0.46,Anarta richardsoni
0.04,0.22,-0.41,0.49,Anaspis flava
0.03,0.22,-0.41,0.48,Anaspis frontalis
-0,0.22,-0.46,0.44,Anaspis funagata
-0.01,0.22,-0.46,0.44,Anaspis rufilabris
0.01,0.22,-0.43,0.46,Andinus venustus
0.08,0.23,-0.36,0.56,Andrena akitsushimae
-0.07,0.23,-0.55,0.38,Andrena carlini
0.02,0.22,-0.41,0.47,Andrena clarkella
0.01,0.22,-0.42,0.46,Andrena dentata
0.06,0.22,-0.37,0.51,Andrena fulva
0.02,0.23,-0.44,0.49,Andrena fuscipes
0.03,0.21,-0.39,0.46,Andrena haemorrhoa
0.06,0.21,-0.36,0.49,Andrena halictoides
0.01,0.21,-0.41,0.42,Andrena hikosana
-0.01,0.23,-0.45,0.46,Andrena ishiharai
0.01,0.22,-0.43,0.44,Andrena kaguya
0.13,0.21,-0.26,0.58,Andrena Knuthi
0.01,0.22,-0.42,0.48,Andrena komachi
0.04,0.22,-0.38,0.5,Andrena lapponica
-0.02,0.21,-0.45,0.4,Andrena minutula
0,0.23,-0.44,0.45,Andrena miyamotoi
-0,0.22,-0.45,0.44,Andrena nigroaenea
0,0.22,-0.44,0.46,Andrena opacifovea opacifovea
-0.01,0.22,-0.44,0.42,Andrena personata
0.05,0.22,-0.4,0.52,Andrena protomias
-0.03,0.22,-0.49,0.4,Andrena pubescens
0,0.23,-0.43,0.46,Andrena sublevigata
0.03,0.22,-0.42,0.49,Andrena tarsata
-0.01,0.22,-0.47,0.43,Andrena tridens
0.05,0.23,-0.38,0.52,Andrena tsukubana
0.01,0.22,-0.42,0.45,Andrena yamamotoi
-0.01,0.22,-0.46,0.42,Angerona prunaria
0,0.22,-0.43,0.43,Anoploderomorpha excavata
0,0.23,-0.45,0.46,Antherophagus nigricornis
0.01,0.21,-0.43,0.44,Anthidium funereum
0.04,0.21,-0.39,0.47,Anthophora alluardii
0.04,0.22,-0.38,0.48,Anthophora orotavae
0.01,0.22,-0.45,0.46,Anthrax hypomelas
0.01,0.23,-0.44,0.47,Anthrax sinuosa
-0.09,0.22,-0.56,0.32,Aphantopus hyperantus
0.04,0.22,-0.41,0.49,Apion aeneum
0.05,0.23,-0.39,0.51,Apion flavipes
0.04,0.22,-0.4,0.49,Apion hookeri
0.02,0.23,-0.42,0.46,Apion meliloti
0.05,0.22,-0.37,0.5,Apion rufirostre
-0.01,0.21,-0.43,0.42,Apis cerana
0.06,0.21,-0.35,0.49,Apis cerana japonica
-0.43,0.22,-0.88,-0.03,Apis mellifera
-0.01,0.22,-0.46,0.42,Aplotarsus incanus
-0,0.23,-0.45,0.46,Apocheima pilosaria
0,0.22,-0.46,0.44,Aporia crataegi
-0,0.23,-0.46,0.45,Appis mellifera
0.05,0.23,-0.4,0.51,Arge similis
0.03,0.22,-0.39,0.47,Arphia crassa
0.01,0.22,-0.44,0.45,Asilis pilicomis
0.02,0.22,-0.41,0.48,Athalia japonica
-0.03,0.22,-0.48,0.41,Athous subfuscus
0.03,0.21,-0.4,0.46,Atyphloceras nuperus
0.04,0.22,-0.38,0.48,Auca coctei
-0.05,0.23,-0.54,0.41,Augochlora pura
0.03,0.21,-0.39,0.47,Aulocara femoratum
-0,0.22,-0.46,0.45,Austrocidaria similata
0.02,0.22,-0.42,0.49,Autographa bractea
0.02,0.22,-0.42,0.46,Avibrissina brevivalpis
0.02,0.23,-0.43,0.48,Avibrissina isolata
0.03,0.22,-0.39,0.49,Baccha maculata
-0.09,0.22,-0.56,0.32,Bellardia vulgaris
0,0.22,-0.44,0.43,Betasyrphus seraius
0.07,0.22,-0.38,0.52,Bibio lanigerus
0.04,0.22,-0.39,0.48,Biston betularia
-0,0.23,-0.46,0.45,Blepharita satura
0.05,0.22,-0.36,0.48,Blitopertha orientalis
0.02,0.19,-0.37,0.4,Bombus ardens
-0.06,0.21,-0.49,0.35,Bombus bohemicus
0.03,0.21,-0.38,0.46,Bombus dahlbomii
-0.04,0.21,-0.46,0.38,Bombus diversus
-0.24,0.21,-0.69,0.13,Bombus diversus diversus
-0.15,0.2,-0.57,0.23,Bombus honshuensis
-0.06,0.21,-0.49,0.34,Bombus hortorum
-0.01,0.19,-0.39,0.38,Bombus hypocrita hypocrita
0.02,0.21,-0.4,0.45,Bombus ignitus
-0.01,0.21,-0.45,0.41,Bombus jonellus
-0.25,0.21,-0.69,0.13,Bombus lapidarius
-0.14,0.21,-0.59,0.24,Bombus lucorum
-0.35,0.22,-0.83,0.05,Bombus pascuorum
0,0.22,-0.44,0.44,Bombus pennsylvanicus
-0,0.2,-0.41,0.4,Bombus pratorum
-0.04,0.21,-0.46,0.38,Bombus ruderatus
0.05,0.22,-0.38,0.49,Bombus soroeensis
-0.19,0.21,-0.66,0.19,Bombus terrestris
-0.06,0.23,-0.52,0.37,Bombus terrestris/lucorum
0.01,0.23,-0.44,0.46,Bombylius atriceps
0.01,0.22,-0.42,0.44,Bombylius major
0.04,0.22,-0.41,0.48,Boreellus atriceps
-0.01,0.23,-0.46,0.45,Bruchidius urbanus
-0.02,0.22,-0.45,0.41,Byctiscus puberulus
0.04,0.22,-0.39,0.49,Byturus aestivus
0,0.22,-0.43,0.46,Byturus affinis
0.07,0.22,-0.36,0.53,Calameuta pallipes
-0.01,0.23,-0.46,0.49,Calliphora icela
0.01,0.23,-0.47,0.48,Calliphora quadrimaculata
-0,0.23,-0.46,0.45,Calliphora quadrimaculata_1
0.01,0.22,-0.41,0.45,Calliphora stygia
0.09,0.21,-0.3,0.55,Callophrys rubi
-0.01,0.19,-0.38,0.36,Callopsylla caspia
-0,0.22,-0.45,0.43,Camponotus obscripes
-0.02,0.22,-0.46,0.41,Camponotus rufoglaucus
-0.01,0.22,-0.46,0.45,Campsomeris primatica
0.01,0.22,-0.44,0.44,Carbula humerigera
0.03,0.22,-0.39,0.47,Carpophilus chalybeus
0.03,0.22,-0.4,0.47,Carposcalis carinata
-0.02,0.2,-0.43,0.37,Catallagia dacenkoi
0.01,0.2,-0.41,0.42,Catallagia ioffi
0.02,0.22,-0.43,0.48,Catallagia striata
-0.01,0.23,-0.47,0.46,Catharus ustulatus
0.02,0.22,-0.42,0.46,Centris cineraria
-0.01,0.23,-0.46,0.45,Centris nigerrima
0.01,0.22,-0.43,0.44,Cephenius nitobei
-0.04,0.22,-0.49,0.38,Ceratina cucurbitina
0.06,0.22,-0.36,0.5,Ceratina esakii
-0,0.2,-0.4,0.38,Ceratina flavipes
0.01,0.22,-0.43,0.46,Ceratina iwatai
-0.23,0.19,-0.62,0.11,Ceratina japonica
-0.09,0.19,-0.48,0.28,Ceratina megastigmata
0.02,0.21,-0.41,0.47,Ceratophyllus anisus
0.1,0.19,-0.28,0.49,Ceratophyllus indages
0.22,0.2,-0.15,0.65,Ceratophyllus sciurorum
-0.03,0.22,-0.48,0.41,Cerceris arenaria
0,0.22,-0.45,0.44,Cerceris carinalis
0.05,0.22,-0.39,0.51,Cerceris hortivaga
0.08,0.22,-0.35,0.53,Ceuthorrhynchus assimilis
0.03,0.23,-0.4,0.49,Ceutorrhynchus rugulosus
0.01,0.23,-0.43,0.49,Chalicodoma sculpturalis
0.03,0.23,-0.41,0.49,Cheilosia albitarsis
0.01,0.23,-0.44,0.46,Cheilosia fulvipes
0.05,0.22,-0.4,0.51,Cheilosia impressa
0.04,0.23,-0.39,0.52,Cheilosia omogensis
-0,0.23,-0.46,0.43,Cheilosia pagana
0.03,0.22,-0.41,0.47,Cheilosia velutina
0.01,0.23,-0.44,0.47,Chelaner antarcticus
0.01,0.23,-0.43,0.47,Chilosia petulca
-0.03,0.21,-0.47,0.4,Chiroxiphia caudata
-0,0.22,-0.45,0.44,Chloroclysta siterata
-0.01,0.23,-0.48,0.46,Chloroclystis chloerata
0.01,0.23,-0.44,0.47,Chloroclystis rectangulata
-0,0.22,-0.44,0.44,Choaspes benjaminii
0.03,0.23,-0.43,0.52,Chrysogaster cemiteriorum
0.04,0.23,-0.41,0.5,Chrysogaster solstitialis
0.03,0.22,-0.43,0.46,Chrysomela collaris
0.03,0.23,-0.42,0.49,Chrysomela fastuosa
0.01,0.22,-0.44,0.46,Chrysotoxum bicinctum
-0,0.21,-0.42,0.41,Citellophilus lebedewi
-0.21,0.2,-0.61,0.13,Citellophilus tesquorum
0,0.21,-0.42,0.42,Citellophilus transcaucasicus
-0.05,0.21,-0.47,0.34,Citellophilus trispinus
0.03,0.22,-0.42,0.47,Citellophilus ullus
-0,0.23,-0.47,0.44,Clisodon terminalis
-0.01,0.23,-0.49,0.45,Clossiana chariclea
-0.03,0.23,-0.51,0.41,Clytolaema rubricauda
0.02,0.22,-0.43,0.46,Clytus arietis
0.08,0.23,-0.35,0.55,Coccinella septempunctata
0.03,0.23,-0.42,0.51,Coccothraustes coccothraustes
-0.01,0.22,-0.45,0.44,Coenosia femoralis
0.11,0.22,-0.32,0.57,Coenosia means
0.01,0.23,-0.45,0.47,Coenosia tigrina
-0.03,0.21,-0.44,0.39,Coereba flaveola
-0.04,0.22,-0.49,0.4,Colias hecla
0.01,0.22,-0.43,0.45,Colletes americanus
-0.02,0.23,-0.49,0.43,Colletes cunicularius
0.02,0.22,-0.42,0.48,Colletes fulvipes
0.03,0.22,-0.41,0.48,Colletes succinctus
-0.01,0.22,-0.44,0.41,Colocasia coryli
-0,0.23,-0.44,0.44,Colotois pennaria
0,0.22,-0.43,0.45,Columba palumbus
0.02,0.21,-0.41,0.44,Columba squamosa
-0.01,0.22,-0.45,0.43,Conops flavipes
-0.02,0.21,-0.45,0.39,Coptopsylla lamellifer
-0.25,0.18,-0.62,0.08,Corrodopsylla birulai
0.04,0.23,-0.4,0.5,Corticarina gibbosa
-0,0.23,-0.47,0.47,Corvus corax
0.04,0.22,-0.4,0.5,Corvus corone
0.04,0.22,-0.39,0.49,Corymbas nipponica
0.02,0.22,-0.43,0.47,Corynoneura scutellata
-0,0.23,-0.45,0.46,Crambus pratella
0.01,0.22,-0.43,0.45,Criorhina japonica
-0,0.22,-0.45,0.44,Crocallis elinguaria
0.03,0.23,-0.41,0.47,Crymodes exulis
0.01,0.22,-0.43,0.44,Ctenophthalmus acuminatus
0.02,0.2,-0.4,0.42,Ctenophthalmus agyrtes
0.09,0.19,-0.28,0.49,Ctenophthalmus arvalis
-0.17,0.17,-0.51,0.14,Ctenophthalmus assimilis
0.01,0.2,-0.37,0.4,Ctenophthalmus bisoctodentatus
0.08,0.22,-0.34,0.53,Ctenophthalmus bogatschevi
-0.12,0.2,-0.55,0.26,Ctenophthalmus breviatus
-0.05,0.22,-0.49,0.37,Ctenophthalmus congeneroides
0,0.23,-0.46,0.45,Ctenophthalmus dilatatus
-0.12,0.21,-0.56,0.27,Ctenophthalmus dolichus
0.06,0.22,-0.35,0.53,Ctenophthalmus golovi
-0,0.23,-0.46,0.44,Ctenophthalmus obtusus
0.04,0.23,-0.41,0.49,Ctenophthalmus orientalis
0.05,0.22,-0.38,0.49,Ctenophthalmus pisticus
0.01,0.21,-0.42,0.43,Ctenophthalmus proximus
0.1,0.22,-0.33,0.54,Ctenophthalmus secundus
-0.01,0.21,-0.45,0.42,Ctenophthalmus solutus
-0.14,0.19,-0.52,0.22,Ctenophthalmus uncinatus
0.01,0.22,-0.42,0.47,Ctenophthalmus wagneri
0.03,0.22,-0.41,0.47,Ctenophyllus armatus
-0.01,0.22,-0.48,0.43,Ctenophyllus hirticrus
0.03,0.23,-0.42,0.51,Cyclarhis gujanensis
-0.02,0.22,-0.47,0.43,Cyclyrius webbianus
0.02,0.22,-0.41,0.46,Cynomya mortuorum
0.02,0.22,-0.4,0.45,Dacnis cayana
0.01,0.22,-0.43,0.46,Dasychira fascelina
0.01,0.22,-0.44,0.46,Dasytes plumbeus
0,0.23,-0.44,0.46,Dasytes subcyaneus
-0.02,0.22,-0.46,0.4,Dasytes vulgaris
0,0.23,-0.45,0.46,Declana junctilinea
0.04,0.22,-0.4,0.48,Demonax transilis
0,0.23,-0.44,0.47,Dendrocopos major
-0.02,0.22,-0.47,0.41,Dere thoracica
0.1,0.22,-0.34,0.55,Desertopsylla rothschildi
-0.07,0.21,-0.5,0.34,Didea fasciata
-0.07,0.22,-0.53,0.36,Diloba caeruleocephala
0.01,0.21,-0.41,0.44,Dilophus febrilis
0.01,0.23,-0.43,0.48,Dinoptera minuta ticollis
0.03,0.22,-0.41,0.48,Dolichopus dasyops
0.08,0.22,-0.36,0.54,Dolichovespula saxonica
0,0.19,-0.36,0.38,Doratopsylla dasycnema
0.03,0.22,-0.41,0.48,Drymeia groenlandica
-0.06,0.2,-0.46,0.33,Echidnophaga oschanini
0.01,0.23,-0.44,0.47,Ectemnius radiatus
-0.01,0.22,-0.45,0.42,Ectinohoplia obducta
0.03,0.22,-0.41,0.45,Ectophasia sinensis
0.04,0.22,-0.41,0.48,Elaenia flavogaster
-0,0.22,-0.44,0.42,Elasmucha nipponica
0.01,0.22,-0.43,0.44,Electrophaes corylata
0.01,0.22,-0.45,0.45,Emberiza cia
-0,0.23,-0.45,0.45,Empidonomus varius
0.03,0.22,-0.42,0.5,Empis aestiva
0.04,0.22,-0.39,0.48,Empis livida
0.05,0.23,-0.4,0.49,Empis tessellata
0.03,0.23,-0.41,0.49,Enicmus transversus
0.07,0.23,-0.37,0.54,Eoseristalis abusivus
0.01,0.23,-0.45,0.46,Eoseristalis arbustorum
0.03,0.23,-0.42,0.48,Eoseristalis horticola
-0.01,0.23,-0.47,0.45,Epirrita christyi
0.08,0.21,-0.33,0.53,Epistotophe shibakawae
-0.36,0.18,-0.74,-0.03,Episyrphus balteatus
0.03,0.22,-0.4,0.48,Epuraea depressa Illiger
0.03,0.23,-0.43,0.5,Erannis defoliaria
0,0.22,-0.44,0.46,Eriogaster lanestris
-0,0.22,-0.44,0.43,Eriothrix rufomaculatus
0.01,0.22,-0.42,0.45,Eristalinus sepulchralis
-0.11,0.19,-0.49,0.24,Eristalis cerealis
-0.02,0.23,-0.48,0.43,Eristalis intricaria
-0.03,0.23,-0.5,0.41,Eristalis intricarius
0,0.22,-0.44,0.44,Eristalis lineata
0.02,0.23,-0.43,0.5,Eristalis nemorum
-0.04,0.22,-0.48,0.38,Eristalis pertinax
-0.01,0.23,-0.48,0.43,Eristalis pratorum
-0.1,0.2,-0.51,0.27,Eristalis tenax
-0.02,0.21,-0.43,0.41,Eristalomya tenax
